"date_site","date","sites","temp_95","wb_temp_95","heat_index_95","rel_hum_95","temp_max","wb_temp_max","heat_index_max","rel_hum_max","temp_mn","wb_temp_mn","heat_index_mn","rel_hum_mn","temp_05","wb_temp_05","heat_index_05","rel_hum_05","habitat","location","date_orig","month","day","year","ext_95","ext_max","ext_95_day","ext_max_day","aci","ndsi","aci_nt","ndsi_nt","aci_day","ndsi_day","sc_count","amgo_n","amro_n","blja_n","cach_n","cawr_n","noca_n","rewo_n","tuti_n","amgo_asr","amro_asr","blja_asr","cach_asr","cawr_asr","noca_asr","rewo_asr","tuti_asr","amgo_morn","amro_morn","blja_morn","cach_morn","cawr_morn","noca_morn","rewo_morn","tuti_morn","amgo_mid","amro_mid","blja_mid","cach_mid","cawr_mid","noca_mid","rewo_mid","tuti_mid","amgo_eve","amro_eve","blja_eve","cach_eve","cawr_eve","noca_eve","rewo_eve","tuti_eve","amgo_n_1","amro_n_1","blja_n_1","cach_n_1","cawr_n_1","noca_n_1","rewo_n_1","tuti_n_1","amgo_asr_1","amro_asr_1","blja_asr_1","cach_asr_1","cawr_asr_1","noca_asr_1","rewo_asr_1","tuti_asr_1","amgo_morn_1","amro_morn_1","blja_morn_1","cach_morn_1","cawr_morn_1","noca_morn_1","rewo_morn_1","tuti_morn_1","amgo_mid_1","amro_mid_1","blja_mid_1","cach_mid_1","cawr_mid_1","noca_mid_1","rewo_mid_1","tuti_mid_1","amgo_eve_1","amro_eve_1","blja_eve_1","cach_eve_1","cawr_eve_1","noca_eve_1","rewo_eve_1","tuti_eve_1","vpd_kPa","ext_fact","ext_day_fact","ext_vpd","ext_day_vpd","ext_wbt","ext_day_wbt","loc_hab"
"2024-05-15_Back_LGB1",2024-05-15,"Back_LGB1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"open","urban",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"urban open"
"2024-05-15_Classroom_SMC7",2024-05-15,"Classroom_SMC7",17.3638888888889,16.8888888888889,17.8888888888889,100,17.6111111111111,17.2222222222222,18.1111111111111,100,16.2703703703704,16.0969135802469,16.8777777777778,98.3088888888889,15.0555555555556,15.05,15.7222222222222,94.2,"forest","urban","2024-05-15",5,15,2024,0,0,0,0,154.293093232093,0.305246206608922,157.812130092433,0.377640083200139,152.533574801922,0.269049268313313,36,0,51,3,0,83,86,0,8,0,40,3,0,66,77,0,8,0,9,0,0,30,17,0,1,0,19,3,0,27,38,0,7,0,12,0,0,24,31,0,0,0,51,19,0,54,158,0,6,0,45,19,0,47,151,0,6,0,7,0,0,8,35,0,3,0,25,8,0,8,71,0,3,0,16,11,0,32,48,0,0,0.0314009411180773,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","urban forest"
"2024-05-15_Forest2_SLF2",2024-05-15,"Forest2_SLF2",18.2527777777778,17.1111111111111,18.3388888888889,100,18.5,17.5,18.8888888888889,100,16.7691358024691,16.2586419753086,17.2228395061728,95.2811111111111,15.2222222222222,15.1666666666667,15.8888888888889,87.4,"forest","urban","2024-05-15",5,15,2024,0,0,0,0,167.945976836969,0.368095243482044,166.797004785638,0.230974772586529,168.520462862635,0.436655478929802,36,3,2,6,0,90,246,0,0,3,2,6,0,71,231,0,0,2,0,5,0,22,59,0,0,0,1,1,0,56,128,0,0,1,1,0,0,12,48,0,0,4,6,0,8,113,105,6,19,4,3,0,8,111,78,6,11,1,2,0,5,64,45,4,18,3,0,0,3,32,18,1,1,0,3,0,0,15,21,1,0,0.0904459420419662,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","urban forest"
"2024-05-15_Forest3_SLR3",2024-05-15,"Forest3_SLR3",18.1972222222222,17,18.2777777777778,100,18.3333333333333,17.2777777777778,18.7222222222222,100,16.7277777777778,16.2308641975309,17.1956790123457,95.3911111111111,15.1666666666667,15.1111111111111,15.7777777777778,87.145,"forest","urban","2024-05-15",5,15,2024,0,0,0,0,158.58089499784,0.135933517434207,157.951553796219,0.315722620864852,158.895565598651,0.0460389657188844,36,7,23,1,0,17,76,12,0,7,23,1,0,17,76,12,0,5,0,0,0,5,30,0,0,2,5,0,0,6,45,1,0,0,18,1,0,6,1,11,0,1,65,1,0,40,89,5,0,1,47,1,0,36,84,5,0,0,16,1,0,9,23,1,0,0,20,0,0,28,52,3,0,1,27,0,0,3,10,1,0,0.0881059120237708,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","urban forest"
"2024-05-15_MuddyCreek_MC1",2024-05-15,"MuddyCreek_MC1",17.8333333333333,17.2777777777778,18.2777777777778,100,18.0555555555556,17.3888888888889,18.3888888888889,100,16.4512345679012,16.2666666666667,17.0666666666667,98.3322222222222,14.9138888888889,14.8888888888889,15.55,93.035,"forest","exurban","2024-05-15",5,15,2024,0,0,0,0,155.723874412046,-0.233520159127601,158.962169942882,0.182236101218653,154.104726646627,-0.441398289300727,36,0,0,2,1,0,423,6,3,0,0,1,1,0,420,6,3,0,0,1,0,0,27,3,0,0,0,1,1,0,253,3,2,0,0,0,0,0,142,0,1,3,0,0,0,107,415,1,2,3,0,0,0,101,345,1,2,1,0,0,0,69,107,1,0,1,0,0,0,27,120,0,2,1,0,0,0,11,138,0,0,0.0313264657044926,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","exurban forest"
"2024-05-15_NEON002_N2",2024-05-15,"NEON002_N2",17.2527777777778,17.2527777777778,18,100,17.4444444444444,17.3888888888889,18.2222222222222,100,16.1648148148148,16.1703703703704,16.8728395061728,100,14.8583333333333,14.8888888888889,15.5,100,"forest","exurban","2024-05-15",5,15,2024,0,0,0,0,159.34960838721,0.275579825313067,159.568261101475,0.449621835682913,159.240282030077,0.188558820128144,36,0,0,0,0,31,87,1,8,0,0,0,0,31,53,1,8,0,0,0,0,0,36,0,0,0,0,0,0,11,21,0,7,0,0,0,0,20,30,1,1,0,0,0,2,5,131,7,1,0,0,0,2,4,107,7,1,0,0,0,0,0,43,3,0,0,0,0,0,2,54,1,1,0,0,0,2,2,24,3,0,0,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","exurban forest"
"2024-05-15_NEON007_N7",2024-05-15,"NEON007_N7",18.5,17,18.6722222222222,100,18.8888888888889,17.3888888888889,18.8888888888889,100,16.9975308641975,16.2722222222222,17.3679012345679,93.4522222222222,15.2777777777778,15.2777777777778,15.8888888888889,85.09,"open","exurban","2024-05-15",5,15,2024,0,0,0,0,177.34674830921,0.610148876369872,184.293626945079,0.591400483745374,173.873308991276,0.619523072682121,36,4,0,13,0,14,13,0,5,4,0,13,0,13,13,0,5,3,0,0,0,6,4,0,1,1,0,13,0,2,9,0,4,0,0,0,0,6,0,0,0,2,2,2,11,9,25,0,14,2,2,2,10,6,24,0,14,1,0,0,11,4,5,0,8,1,2,2,0,2,17,0,6,0,0,0,0,3,3,0,0,0.127331274545309,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","exurban open"
"2024-05-15_NEON008_N8",2024-05-15,"NEON008_N8",18.5861111111111,16.7777777777778,18.5611111111111,99.755,18.9444444444444,17.2222222222222,18.8888888888889,100,17.1462962962963,16.2030864197531,17.4283950617284,91.2988888888889,15.4444444444444,15.3888888888889,16.1111111111111,82.645,"open","exurban","2024-05-15",5,15,2024,0,0,0,0,178.316852091828,0.153772986054562,183.944786806536,-0.0176845898507115,175.502884734474,0.239501774007199,36,2,0,1,0,58,53,0,1,2,0,1,0,52,52,0,0,0,0,1,0,24,28,0,0,1,0,0,0,19,15,0,0,1,0,0,0,14,9,0,0,10,0,0,0,111,7,1,16,10,0,0,0,99,3,1,15,8,0,0,0,40,4,1,14,1,0,0,0,38,2,0,2,1,0,0,0,31,1,0,0,0.170807944351436,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","exurban open"
"2024-05-15_NEON009_N9",2024-05-15,"NEON009_N9",16.7777777777778,16.7777777777778,17.5,100,16.8888888888889,16.8888888888889,17.7222222222222,100,15.9567901234568,15.9567901234568,16.6469135802469,100,14.8333333333333,14.8888888888889,15.5,100,"forest","exurban","2024-05-15",5,15,2024,0,0,0,0,157.66881345218,-0.361022674076549,160.451312908463,-0.068703013619464,156.277563724039,-0.507182504305091,36,0,0,3,0,35,17,0,1,0,0,3,0,34,17,0,1,0,0,1,0,1,1,0,1,0,0,2,0,29,9,0,0,0,0,0,0,5,7,0,0,1,0,9,0,81,114,0,1,1,0,0,0,80,111,0,1,0,0,8,0,3,12,0,0,0,0,0,0,56,87,0,0,1,0,0,0,22,13,0,1,0,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","exurban forest"
"2024-05-15_NEON017_N17",2024-05-15,"NEON017_N17",17.1416666666667,17.1111111111111,17.8888888888889,100,17.2777777777778,17.2777777777778,18,100,16.2246913580247,16.2049382716049,16.9166666666667,99.8866666666667,15.1111111111111,15.1111111111111,15.7777777777778,99.345,"forest","exurban","2024-05-15",5,15,2024,0,0,0,0,154.899414383762,0.818346716218061,156.686382137092,0.895876176124151,154.005930507097,0.779581986265016,36,0,0,7,1,15,16,7,1,0,0,7,1,15,3,7,1,0,0,0,0,4,13,0,0,0,0,3,1,11,3,7,1,0,0,4,0,0,0,0,0,2,0,0,1,4,9,10,87,2,0,0,1,4,0,10,86,2,0,0,0,0,6,3,75,0,0,0,1,2,0,6,12,0,0,0,0,2,0,1,0,0.00209828072655046,"not extreme","not extreme","not extreme","not extreme","not extreme","not extreme","exurban forest"
