"sites","date","day_night","temp_95","wb_temp_95","heat_index_95","rel_hum_95","temp_max","wb_temp_max","heat_index_max","rel_hum_max","temp_mn","wb_temp_mn","heat_index_mn","rel_hum_mn","temp_05","wb_temp_05","heat_index_05","rel_hum_05","habitat","location"
"Classroom_SMC7",2024-05-15,"night",15.4194444444444,15.3888888888889,16,100,15.7222222222222,15.5,16.2777777777778,100,15.1222222222222,15.012962962963,15.7074074074074,99.0066666666667,14.7222222222222,14.6111111111111,15.2777777777778,97.8,"forest","urban"
"Forest2_SLF2",2024-05-15,"night",17.0722222222222,15.95,17.2027777777778,100,17.3333333333333,16.1111111111111,17.3888888888889,100,15.4481481481481,15.2462962962963,16.0074074074074,98.2333333333333,14.7722222222222,14.7777777777778,15.4388888888889,89.6,"forest","urban"
"Forest3_SLR3",2024-05-15,"night",16.8,15.9611111111111,17.1638888888889,100,17.2777777777778,16.2222222222222,17.3888888888889,100,15.35,15.1666666666667,15.9240740740741,98.34,14.6916666666667,14.6666666666667,15.3277777777778,92.425,"forest","urban"
"MuddyCreek_MC1",2024-05-15,"night",16.2833333333333,16.3138888888889,17.0111111111111,100,16.4444444444444,16.5,17.2222222222222,100,14.9388888888889,14.9388888888889,15.5888888888889,100,14,14,14.6111111111111,100,"forest","exurban"
"NEON002_N2",2024-05-15,"night",16.0055555555556,15.95,16.6722222222222,100,16.2222222222222,16.2222222222222,16.8888888888889,100,14.8851851851852,14.8685185185185,15.5277777777778,100,14.1111111111111,14.1111111111111,14.7222222222222,100,"forest","exurban"
"NEON007_N7",2024-05-15,"night",16.5666666666667,16,17.0611111111111,100,16.7777777777778,16.1111111111111,17.1111111111111,100,15.2296296296296,15.1185185185185,15.8407407407407,99.0066666666667,14.525,14.55,15.1611111111111,94.93,"open","exurban"
"NEON008_N8",2024-05-15,"night",17.6222222222222,15.9611111111111,17.5722222222222,99.855,17.7222222222222,16.1111111111111,17.7222222222222,100,15.7962962962963,15.25,16.212962962963,94.89,15.2472222222222,14.8888888888889,15.7472222222222,84.49,"open","exurban"
"NEON009_N9",2024-05-15,"night",15.8888888888889,15.8888888888889,16.6111111111111,100,15.9444444444444,15.8888888888889,16.6111111111111,100,14.8796296296296,14.8648148148148,15.5240740740741,100,14.025,14,14.6111111111111,100,"forest","exurban"
"NEON017_N17",2024-05-15,"night",16.3888888888889,16.2777777777778,17.1111111111111,100,16.4444444444444,16.3888888888889,17.2222222222222,100,15.4203703703704,15.4055555555556,16.0796296296296,99.8933333333333,14.8833333333333,14.9388888888889,15.55,99.49,"forest","exurban"
"NEON018_N18",2024-05-15,"night",17.3138888888889,15.9611111111111,17.4,100,17.5555555555556,16.1111111111111,17.6111111111111,100,15.3277777777778,15.0407407407407,15.8444444444444,97.3,14.1055555555556,14.05,14.6611111111111,87.26,"open","exurban"
"NEON019_N19",2024-05-15,"night",15.975,15.95,16.6111111111111,100,16.0555555555556,16.1111111111111,16.7222222222222,100,15.0814814814815,15.0907407407407,15.737037037037,100,14.3888888888889,14.3888888888889,15.1111111111111,100,"forest","exurban"
"Open_SMO9",2024-05-15,"night",15.3333333333333,15.2777777777778,15.95,100,15.3888888888889,15.2777777777778,16,100,14.7074074074074,14.6666666666667,15.3166666666667,99.7666666666667,13.8333333333333,13.8888888888889,14.3888888888889,98.09,"open","urban"
"Open1_SLO1",2024-05-15,"night",15.8416666666667,15.3888888888889,16.1361111111111,100,17,15.6666666666667,17.1111111111111,100,14.9341563786008,14.8117283950617,15.5164609053498,98.8648148148148,13.6111111111111,13.6111111111111,14.2222222222222,92.335,"open","urban"
