"date_site","date","sites","temp_95","wb_temp_95","heat_index_95","rel_hum_95","temp_max","wb_temp_max","heat_index_max","rel_hum_max","temp_mn","wb_temp_mn","heat_index_mn","rel_hum_mn","temp_05","wb_temp_05","heat_index_05","rel_hum_05","habitat","location","date_orig","month","day","year","ext_95"
"2024-05-11_Classroom_SMC7",2024-05-11,"Classroom_SMC7",16.5861111111111,11.1666666666667,14.7777777777778,95.065,17,11.8888888888889,15.6111111111111,98.4,13.741975308642,10.1623456790123,12.8432098765432,66.3555555555556,8.90833333333333,8.43888888888889,9.075,47.905,"forest","urban","2024-05-11",5,11,2024,0
"2024-05-11_Forest3_SLR3",2024-05-11,"Forest3_SLR3",18.3638888888889,12.1416666666667,16.2777777777778,99.065,19.6666666666667,13,18.2222222222222,100,14.5450617283951,10.712962962963,13.5425925925926,65.4877777777778,9.025,8.87777777777778,9.27777777777778,40.835,"forest","urban","2024-05-11",5,11,2024,0
"2024-05-11_NEON007_N7",2024-05-11,"NEON007_N7",18.1166666666667,11.95,15.8138888888889,98.575,18.5,12.3888888888889,16.3888888888889,99.8,15.1487654320988,10.6820987654321,13.8962962962963,60.4155555555556,8.9,8.73888888888889,9.15277777777778,39.52,"open","exurban","2024-05-11",5,11,2024,0
"2024-05-11_NEON019_N19",2024-05-11,"NEON019_N19",16.8333333333333,12.6666666666667,15.5611111111111,100,17.5555555555556,13.2777777777778,16,100,13.7024691358025,11.0697530864198,13.1530864197531,75.9022222222222,7.96944444444444,7.93888888888889,8.16666666666667,47.295,"forest","exurban","2024-05-11",5,11,2024,0
"2024-05-11_Open_SMO9",2024-05-11,"Open_SMO9",18.3944444444444,11.7027777777778,16.2777777777778,97.195,20.0555555555556,13.1111111111111,18.5,98.4,14.6654320987654,10.4450617283951,13.5296296296296,62.3244444444444,8.87777777777778,8.48888888888889,9.125,42.345,"open","urban","2024-05-11",5,11,2024,0
"2024-05-11_Open1_SLO1",2024-05-11,"Open1_SLO1",19.6416666666667,12.8888888888889,18.0722222222222,99.36,20.3888888888889,14,19.1111111111111,100,15.887037037037,11.1623456790123,14.633950617284,59.2377777777778,8.55,8.5,8.82777777777778,39.515,"open","urban","2024-05-11",5,11,2024,0
"2024-05-11_SweetHope_SH4",2024-05-11,"SweetHope_SH4",16.9194444444444,11.1111111111111,15.1111111111111,91.03,18,12.8888888888889,16.6111111111111,92.5,13.6327160493827,9.68271604938272,12.5987654320988,62.8177777777778,8.80277777777778,7.88888888888889,8.77777777777778,46.2,"open","urban","2024-05-11",5,11,2024,0
"2024-05-12_Classroom_SMC7",2024-05-12,"Classroom_SMC7",16.1166666666667,13.45,15.3138888888889,100,16.7777777777778,13.6666666666667,15.8888888888889,100,13.2055555555556,12.108024691358,13.2975308641975,89.2711111111111,9.5,9.5,9.77777777777778,67.46,"forest","urban","2024-05-12",5,12,2024,0
"2024-05-12_Forest3_SLR3",2024-05-12,"Forest3_SLR3",15.5055555555556,14.0611111111111,15.5111111111111,100,16.8333333333333,15.2777777777778,16.7777777777778,100,13.2450617283951,12.7061728395062,13.579012345679,94.6455555555556,10.3583333333333,10.3888888888889,10.7777777777778,82.405,"forest","urban","2024-05-12",5,12,2024,0
"2024-05-12_NEON007_N7",2024-05-12,"NEON007_N7",16.95,14.3888888888889,16.6111111111111,100,18.1111111111111,14.7777777777778,16.8888888888889,100,14.2043209876543,12.5814814814815,14.091975308642,84.42,10.0555555555556,10,10.3888888888889,70.84,"open","exurban","2024-05-12",5,12,2024,0
"2024-05-12_NEON019_N19",2024-05-12,"NEON019_N19",15.5111111111111,15.1416666666667,15.9611111111111,100,16.3888888888889,15.8888888888889,16.7777777777778,100,13.0185185185185,12.9444444444444,13.5296296296296,99.2733333333333,9.96944444444444,9.93888888888889,10.3277777777778,95.545,"forest","exurban","2024-05-12",5,12,2024,0
"2024-05-12_Open_SMO9",2024-05-12,"Open_SMO9",18.3694444444444,14.5111111111111,17.1722222222222,100,20.0555555555556,15.5,19.1111111111111,100,14.3598765432099,12.4456790123457,14.1351851851852,82.57,9.38888888888889,9.38888888888889,9.71666666666667,53.915,"open","urban","2024-05-12",5,12,2024,0
"2024-05-12_Open1_SLO1",2024-05-12,"Open1_SLO1",19.2527777777778,15.1666666666667,18.5,100,21.3333333333333,16.5,21.2777777777778,100,14.5506172839506,13.0506172839506,14.5382716049383,86.14,10.025,10.05,10.3888888888889,62.1,"open","urban","2024-05-12",5,12,2024,0
"2024-05-12_SweetHope_SH4",2024-05-12,"SweetHope_SH4",17.475,13.5611111111111,16.2527777777778,100,18.2222222222222,14.2777777777778,16.7777777777778,100,13.6203703703704,11.9746913580247,13.487037037037,84.6122222222222,9.10555555555555,9.13611111111111,9.43888888888889,57.49,"open","urban","2024-05-12",5,12,2024,0
"2024-05-13_Classroom_SMC7",2024-05-13,"Classroom_SMC7",22.8638888888889,16,22,100,23,16.2777777777778,22.2222222222222,100,18.7259259259259,14.4679012345679,18.358024691358,67.0344444444444,12.2777777777778,12.2777777777778,12.8277777777778,40.37,"forest","urban","2024-05-13",5,13,2024,0
"2024-05-13_Forest3_SLR3",2024-05-13,"Forest3_SLR3",22.4194444444444,17.3388888888889,22.2222222222222,100,22.6111111111111,18.2222222222222,22.7777777777778,100,18.183950617284,15.6858024691358,18.2253086419753,79.2944444444444,12.9388888888889,12.9388888888889,13.5,58.435,"forest","urban","2024-05-13",5,13,2024,0
"2024-05-13_NEON007_N7",2024-05-13,"NEON007_N7",22,16.8388888888889,21.9,100,22.9444444444444,17.2222222222222,22.7222222222222,100,19.0314814814815,15.4895061728395,18.8641975308642,71.1844444444444,13.2111111111111,13.2361111111111,13.7972222222222,53.11,"open","exurban","2024-05-13",5,13,2024,0
"2024-05-13_NEON019_N19",2024-05-13,"NEON019_N19",20.6416666666667,17.5,20.6722222222222,100,21.5555555555556,17.7222222222222,21.7222222222222,100,17.4111111111111,15.6845679012346,17.5993827160494,85.2533333333333,11.7222222222222,11.6666666666667,12.2222222222222,68.56,"forest","exurban","2024-05-13",5,13,2024,0
"2024-05-13_Open_SMO9",2024-05-13,"Open_SMO9",24.7527777777778,16.1111111111111,23.1722222222222,100,25.1666666666667,17,23.6111111111111,100,19.6179012345679,14.4098765432099,18.9771604938272,61.3755555555556,12.4444444444444,12.3888888888889,12.9388888888889,33.79,"open","urban","2024-05-13",5,13,2024,0
"2024-05-13_Open1_SLO1",2024-05-13,"Open1_SLO1",22.95,17.3388888888889,22.6722222222222,100,23.9444444444444,17.8888888888889,23.6111111111111,100,19.0987654320988,15.8234567901235,18.9753086419753,73.3544444444444,13.1861111111111,13.1861111111111,13.7472222222222,55.4,"open","urban","2024-05-13",5,13,2024,0
"2024-05-13_SweetHope_SH4",2024-05-13,"SweetHope_SH4",23.9444444444444,16.1111111111111,22.7527777777778,98.355,24.5,16.7777777777778,23.2222222222222,98.8,18.8987654320988,14.1462962962963,18.3574074074074,64.0177777777778,12.2472222222222,12.1111111111111,12.7222222222222,33.945,"open","urban","2024-05-13",5,13,2024,0
"2024-05-14_Classroom_SMC7",2024-05-14,"Classroom_SMC7",18.9194444444444,17.6111111111111,19,100,19.2222222222222,17.6111111111111,19.2777777777778,100,17.1506172839506,16.4654320987654,17.5771604938272,93.7777777777778,13.3583333333333,13.2777777777778,13.7777777777778,81.87,"forest","urban","2024-05-14",5,14,2024,0
"2024-05-14_Forest3_SLR3",2024-05-14,"Forest3_SLR3",19.45,18.1111111111111,19.8388888888889,100,19.5555555555556,18.2222222222222,19.8888888888889,100,17.9623456790123,17.2277777777778,18.4154320987654,93.3044444444444,16.7472222222222,15.6666666666667,17,86.4,"forest","urban","2024-05-14",5,14,2024,0
