filt_h.1$common_name,n
Northern Cardinal,5069
House Sparrow,3073
Eastern Screech-Owl,2423
Blue Jay,2348
European Starling,1789
Ruby-throated Hummingbird,1761
Song Sparrow,747
American Goldfinch,677
Common Grackle,669
Chimney Swift,639
House Finch,622
American Robin,568
Gray Catbird,542
Carolina Wren,519
Fish Crow,513
American Crow,417
Barred Owl,396
Blue Grosbeak,335
Cedar Waxwing,335
Common Nighthawk,323
Red-bellied Woodpecker,281
Barn Owl,243
Mourning Dove,207
Boat-tailed Grackle,196
Black-capped Chickadee,191
Great Horned Owl,182
Tufted Titmouse,165
Red-shouldered Hawk,146
Red-tailed Hawk,143
Northern Bobwhite,117
Canada Goose,113
White-crowned Sparrow,111
Eastern Kingbird,107
White-breasted Nuthatch,100
Golden-crowned Kinglet,99
Great Crested Flycatcher,95
Northern Rough-winged Swallow,80
Downy Woodpecker,73
Great Blue Heron,70
Red-winged Blackbird,67
Common Yellowthroat,63
Dunlin,63
Northern Mockingbird,61
Pileated Woodpecker,61
Yellow-billed Cuckoo,59
Veery,58
Eastern Wood-Pewee,57
Orange-crowned Warbler,56
Eastern Bluebird,55
Brown-headed Cowbird,51
Cooper's Hawk,47
Clapper Rail,46
Red-headed Woodpecker,46
Belted Kingfisher,43
Killdeer,43
Northern Flicker,42
Purple Martin,38
Brown-headed Nuthatch,36
Dark-eyed Junco,34
Eastern Meadowlark,34
White-throated Sparrow,34
Mallard,33
American Pipit,28
Rusty Blackbird,28
Brown Creeper,27
Osprey,26
Savannah Sparrow,26
Ovenbird,25
Common Loon,24
American Woodcock,23
Chipping Sparrow,22
Eastern Whip-poor-will,22
Red-breasted Nuthatch,21
Swamp Sparrow,21
Field Sparrow,20
Swainson's Thrush,20
Worm-eating Warbler,20
Least Bittern,19
Common Goldeneye,18
Wild Turkey,18
Wood Thrush,18
American Bittern,17
Carolina Chickadee,17
Grasshopper Sparrow,17
Henslow's Sparrow,17
Purple Finch,17
Summer Tanager,17
Indigo Bunting,16
Alder Flycatcher,15
Eurasian Collared-Dove,15
Least Flycatcher,15
Palm Warbler,15
Least Sandpiper,14
Black Vulture,13
Caspian Tern,13
Common Raven,13
Gray-cheeked Thrush,13
Green Heron,13
Blue-gray Gnatcatcher,12
Black-crowned Night-Heron,11
Lincoln's Sparrow,11
Ruby-crowned Kinglet,11
Yellow-breasted Chat,11
Brown Thrasher,10
Northern Waterthrush,10
American Tree Sparrow,9
Bald Eagle,9
Broad-winged Hawk,9
Cape May Warbler,9
Eastern Phoebe,9
Pine Siskin,9
Sandhill Crane,9
Seaside Sparrow,9
Sora,9
Virginia Rail,9
Yellow-throated Vireo,9
Black-bellied Plover,8
Blackpoll Warbler,8
Green-winged Teal,8
Orchard Oriole,8
Prothonotary Warbler,8
Spotted Sandpiper,8
Yellow Warbler,8
Common Tern,7
Gadwall,7
Lapland Longspur,7
White-eyed Vireo,7
Yellow-bellied Sapsucker,7
American Coot,6
Eastern Towhee,6
Great Egret,6
Hermit Thrush,6
Ring-billed Gull,6
Snow Bunting,6
Tree Swallow,6
Yellow-throated Warbler,6
American Redstart,5
Baltimore Oriole,5
Common Merganser,5
Hairy Woodpecker,5
Horned Lark,5
Marsh Wren,5
Rose-breasted Grosbeak,5
Willow Flycatcher,5
Winter Wren,5
Brant,4
Chuck-will's-widow,4
Fox Sparrow,4
Red-eyed Vireo,4
Warbling Vireo,4
Wood Duck,4
Bay-breasted Warbler,3
Black-billed Cuckoo,3
Cliff Swallow,3
Dickcissel,3
Great Cormorant,3
Northern Parula,3
Scarlet Tanager,3
Swainson's Warbler,3
Turkey Vulture,3
Vesper Sparrow,3
Whimbrel,3
White Ibis,3
Yellow-rumped Warbler,3
American Kestrel,2
Barn Swallow,2
Blue-winged Teal,2
Bobolink,2
Common Eider,2
Forster's Tern,2
Greater Yellowlegs,2
Herring Gull,2
Magnolia Warbler,2
Mourning Warbler,2
Prairie Warbler,2
Solitary Sandpiper,2
Tundra Swan,2
Wilson's Warbler,2
American Black Duck,1
American Wigeon,1
Black-and-white Warbler,1
Black-throated Green Warbler,1
Blackburnian Warbler,1
Blue-winged Warbler,1
Bonaparte's Gull,1
Bufflehead,1
Cattle Egret,1
Common Gallinule,1
Hooded Warbler,1
House Wren,1
Kentucky Warbler,1
Least Tern,1
Long-tailed Duck,1
Louisiana Waterthrush,1
Merlin,1
Mute Swan,1
Nashville Warbler,1
Northern Harrier,1
Northern Pintail,1
Northern Shoveler,1
Peregrine Falcon,1
Pine Warbler,1
Rock Pigeon,1
Ruddy Turnstone,1
Sandwich Tern,1
Semipalmated Plover,1
Semipalmated Sandpiper,1
Short-billed Dowitcher,1
Snow Goose,1
