filt_h.1$common_name,n
Eastern Screech-Owl,26495
Northern Cardinal,23262
Black-capped Chickadee,11505
Kentucky Warbler,9656
Red-eyed Vireo,9328
Purple Finch,8329
Ovenbird,7756
Eastern Wood-Pewee,7663
Swainson's Warbler,5642
Blue Jay,5216
Carolina Wren,5092
Common Yellowthroat,4263
Acadian Flycatcher,4226
Barred Owl,3486
Hooded Warbler,2828
Tufted Titmouse,2720
White-throated Sparrow,2220
American Bittern,1817
American Goldfinch,1520
Great Horned Owl,1485
Worm-eating Warbler,1328
Gray Catbird,1255
Wood Thrush,1214
Red-bellied Woodpecker,1182
Hairy Woodpecker,1149
Louisiana Waterthrush,1022
Swamp Sparrow,976
Indigo Bunting,947
Ruby-throated Hummingbird,942
Prothonotary Warbler,897
Yellow-throated Warbler,702
Carolina Chickadee,672
Scarlet Tanager,546
Blue-gray Gnatcatcher,533
American Crow,512
Downy Woodpecker,500
Philadelphia Vireo,451
Yellow-throated Vireo,432
Canada Goose,385
House Sparrow,383
Northern Parula,372
Barn Owl,368
American Woodcock,360
White-breasted Nuthatch,360
Snow Goose,358
Eastern Towhee,330
Northern Flicker,316
Yellow-bellied Flycatcher,314
White-crowned Sparrow,300
House Finch,282
Red-shouldered Hawk,274
Broad-winged Hawk,272
Common Grackle,253
Mississippi Kite,201
Common Loon,196
Eastern Bluebird,188
Gray-cheeked Thrush,183
Red-tailed Hawk,159
American Pipit,158
Golden-crowned Kinglet,158
Black-throated Green Warbler,155
Northern Waterthrush,155
Brown Creeper,151
Brown-headed Nuthatch,139
Brown-headed Cowbird,137
Cooper's Hawk,137
Least Flycatcher,131
Belted Kingfisher,129
Black-throated Blue Warbler,124
Red-breasted Nuthatch,122
Summer Tanager,122
Great Crested Flycatcher,121
Osprey,119
Cedar Waxwing,114
Blue-headed Vireo,107
American Redstart,106
Canada Warbler,106
Pileated Woodpecker,105
American Robin,98
Blackpoll Warbler,96
White-eyed Vireo,90
Common Nighthawk,84
Eastern Phoebe,81
Yellow-billed Cuckoo,79
Baltimore Oriole,78
Red-headed Woodpecker,74
Mourning Dove,70
Blue-winged Warbler,69
Blue Grosbeak,68
Song Sparrow,67
Yellow-rumped Warbler,67
Chestnut-sided Warbler,66
Prairie Warbler,66
Chipping Sparrow,65
Alder Flycatcher,62
Blackburnian Warbler,62
Wilson's Snipe,61
Pine Warbler,56
Bald Eagle,49
Pine Siskin,49
Palm Warbler,45
Northern Rough-winged Swallow,43
Greater Yellowlegs,42
Hermit Thrush,42
Spotted Sandpiper,42
Magnolia Warbler,40
Ruby-crowned Kinglet,40
Dark-eyed Junco,39
Great Blue Heron,39
Veery,39
American Tree Sparrow,38
Chimney Swift,36
Wilson's Warbler,33
Eastern Kingbird,32
Fish Crow,32
Warbling Vireo,32
Eastern Whip-poor-will,30
Black-and-white Warbler,29
Willow Flycatcher,29
Killdeer,28
Rusty Blackbird,28
Red-winged Blackbird,26
Cape May Warbler,25
Winter Wren,21
Yellow-bellied Sapsucker,20
Brown Thrasher,19
Green-winged Teal,19
Northern Bobwhite,18
Bay-breasted Warbler,17
Cerulean Warbler,17
Tree Swallow,17
Fox Sparrow,16
Virginia Rail,16
Field Sparrow,15
Dunlin,13
Mallard,13
Solitary Sandpiper,13
Rock Pigeon,12
Wild Turkey,12
Rose-breasted Grosbeak,11
Clapper Rail,10
Orchard Oriole,10
Wood Duck,10
Eurasian Collared-Dove,9
Wood Stork,9
Lincoln's Sparrow,7
Nashville Warbler,7
Orange-crowned Warbler,7
Tennessee Warbler,7
House Wren,6
Lesser Yellowlegs,6
Merlin,6
Whimbrel,6
Yellow Warbler,6
Bank Swallow,5
Black-crowned Night-Heron,5
Savannah Sparrow,5
Seaside Sparrow,5
Snow Bunting,5
Black Vulture,4
Common Goldeneye,4
Common Raven,4
Eastern Meadowlark,4
Green Heron,4
Lapland Longspur,4
Purple Martin,4
Barn Swallow,3
Black-bellied Plover,3
Black-billed Cuckoo,3
Boat-tailed Grackle,3
Chuck-will's-widow,3
Least Bittern,3
Marsh Wren,3
Northern Harrier,3
Sharp-shinned Hawk,3
Short-eared Owl,3
Sora,3
Swainson's Thrush,3
Caspian Tern,2
Cliff Swallow,2
Grasshopper Sparrow,2
Peregrine Falcon,2
Ruddy Turnstone,2
Yellow-breasted Chat,2
American Coot,1
American Kestrel,1
Black Scoter,1
Canvasback,1
Cattle Egret,1
Gadwall,1
Great Egret,1
Horned Lark,1
Northern Mockingbird,1
Northern Pintail,1
Sandhill Crane,1
Vesper Sparrow,1
