filt_h.1$common_name,n
Eastern Screech-Owl,32967
Kentucky Warbler,12689
Acadian Flycatcher,12238
Swainson's Warbler,12070
Eastern Wood-Pewee,9419
Tufted Titmouse,6948
Great Horned Owl,5535
Red-eyed Vireo,4187
Carolina Wren,3821
Barred Owl,3753
American Crow,3569
Northern Cardinal,2965
Worm-eating Warbler,2637
Indigo Bunting,2517
Blue Jay,2368
Prothonotary Warbler,2274
Red-bellied Woodpecker,2113
White-throated Sparrow,1510
Great Crested Flycatcher,1336
Wood Thrush,1219
Scarlet Tanager,1168
Yellow-throated Warbler,1107
Hooded Warbler,995
Mississippi Kite,874
White-breasted Nuthatch,866
Carolina Chickadee,824
Canada Goose,749
White-crowned Sparrow,706
Pileated Woodpecker,702
Ovenbird,580
Yellow-billed Cuckoo,562
Barn Owl,457
House Finch,448
Golden-crowned Kinglet,441
Ruby-throated Hummingbird,427
Downy Woodpecker,423
Red-shouldered Hawk,408
Common Yellowthroat,385
Yellow-bellied Flycatcher,365
Yellow-throated Vireo,365
American Goldfinch,343
Fish Crow,336
Eastern Bluebird,320
Louisiana Waterthrush,318
Hairy Woodpecker,314
Red-headed Woodpecker,257
Black-throated Blue Warbler,242
Broad-winged Hawk,239
Northern Bobwhite,233
Osprey,180
Red-tailed Hawk,179
Eastern Towhee,173
Black-throated Green Warbler,153
Summer Tanager,142
American Robin,141
Black-capped Chickadee,141
Blackburnian Warbler,138
Mourning Dove,138
Brown Creeper,137
Northern Waterthrush,137
Yellow-rumped Warbler,133
American Redstart,105
Common Raven,102
Wild Turkey,98
Least Flycatcher,93
Palm Warbler,86
Blue-headed Vireo,85
Northern Flicker,82
Belted Kingfisher,80
Northern Parula,78
Swamp Sparrow,77
Blue-gray Gnatcatcher,76
Cerulean Warbler,76
Common Grackle,76
Bay-breasted Warbler,74
Pine Warbler,74
Red-breasted Nuthatch,70
Yellow-bellied Sapsucker,69
Cedar Waxwing,68
American Woodcock,67
Brown-headed Nuthatch,63
Dark-eyed Junco,63
Eastern Phoebe,62
American Tree Sparrow,60
Winter Wren,60
Cooper's Hawk,58
Northern Rough-winged Swallow,57
Cape May Warbler,55
Canada Warbler,52
American Pipit,50
Gray Catbird,50
Magnolia Warbler,49
Black-and-white Warbler,48
Chipping Sparrow,47
Blackpoll Warbler,43
Hermit Thrush,43
Bald Eagle,39
Great Blue Heron,39
Chimney Swift,37
Fox Sparrow,37
Baltimore Oriole,36
Common Nighthawk,35
Philadelphia Vireo,29
Killdeer,26
Chuck-will's-widow,25
Great Cormorant,23
Purple Finch,23
Blue-winged Warbler,22
Brown-headed Cowbird,22
Prairie Warbler,21
Whimbrel,21
Rusty Blackbird,20
Blue Grosbeak,19
Purple Martin,18
Seaside Sparrow,17
Chestnut-sided Warbler,16
Veery,16
Willow Flycatcher,16
Wood Duck,16
Dunlin,15
Mallard,15
Black-billed Cuckoo,14
Black-crowned Night-Heron,14
Clapper Rail,13
Common Loon,13
Eastern Meadowlark,12
Field Sparrow,11
Savannah Sparrow,11
Nashville Warbler,10
Alder Flycatcher,9
Barn Swallow,8
Black Vulture,8
Common Gallinule,8
Gray-cheeked Thrush,8
Red-winged Blackbird,8
American Coot,7
Black-bellied Plover,7
Eastern Kingbird,7
Eurasian Collared-Dove,7
Greater Yellowlegs,7
Green-winged Teal,7
Pine Siskin,7
Rose-breasted Grosbeak,7
Sandhill Crane,7
Sharp-shinned Hawk,7
Ruby-crowned Kinglet,6
Solitary Sandpiper,6
White-eyed Vireo,6
Wilson's Warbler,6
Northern Mockingbird,5
Tundra Swan,5
Warbling Vireo,5
American Bittern,4
Great Egret,4
House Sparrow,4
Least Bittern,4
Lincoln's Sparrow,4
Orange-crowned Warbler,4
Swainson's Thrush,4
Bank Swallow,3
Brown Thrasher,3
Common Merganser,3
Grasshopper Sparrow,3
Green Heron,3
House Wren,3
Orchard Oriole,3
Spotted Sandpiper,3
Tennessee Warbler,3
Tree Swallow,3
American Kestrel,2
Boat-tailed Grackle,2
Common Goldeneye,2
Common Tern,2
Eastern Whip-poor-will,2
Lapland Longspur,2
Lesser Yellowlegs,2
Ruddy Turnstone,2
Sora,2
Turkey Vulture,2
Virginia Rail,2
White Ibis,2
Caspian Tern,1
Common Eider,1
European Starling,1
Mute Swan,1
Northern Harrier,1
Rock Pigeon,1
Sandwich Tern,1
Snow Bunting,1
Song Sparrow,1
Wood Stork,1
Yellow-breasted Chat,1
