filt_h.1$common_name,n
House Sparrow,21947
Northern Cardinal,3202
Chimney Swift,3157
Fish Crow,3021
American Robin,2493
Gray Catbird,2003
European Starling,1827
House Finch,1755
Carolina Wren,948
Common Grackle,940
Eastern Screech-Owl,886
Blue Jay,761
American Goldfinch,704
Common Nighthawk,555
Northern Flicker,549
Blackpoll Warbler,463
Canada Goose,380
Black-capped Chickadee,337
Red-bellied Woodpecker,335
American Crow,315
American Redstart,307
Tufted Titmouse,242
Eastern Kingbird,229
Downy Woodpecker,206
Rose-breasted Grosbeak,206
Osprey,195
Purple Finch,194
Purple Martin,182
Cape May Warbler,177
Mallard,172
White-breasted Nuthatch,166
Northern Parula,159
Cedar Waxwing,142
Barn Owl,138
Scarlet Tanager,133
Red-tailed Hawk,124
Mourning Dove,118
Red-shouldered Hawk,108
Brown Thrasher,107
Red-eyed Vireo,107
Eastern Bluebird,106
Ovenbird,104
Summer Tanager,95
Ruby-throated Hummingbird,92
White-throated Sparrow,84
Yellow Warbler,81
Bay-breasted Warbler,80
White-crowned Sparrow,75
Barred Owl,74
Dunlin,71
Eastern Wood-Pewee,68
Black-and-white Warbler,67
Broad-winged Hawk,67
Brown-headed Cowbird,59
Great Horned Owl,58
Belted Kingfisher,53
Cooper's Hawk,49
Golden-crowned Kinglet,49
Great Crested Flycatcher,44
Bald Eagle,43
Common Loon,42
Black-crowned Night-Heron,41
Worm-eating Warbler,39
American Woodcock,35
Baltimore Oriole,34
Common Yellowthroat,33
Palm Warbler,33
Wood Thrush,33
American Pipit,32
Eurasian Collared-Dove,32
American Tree Sparrow,31
Northern Mockingbird,30
Chipping Sparrow,26
Wilson's Warbler,26
Red-headed Woodpecker,25
Whimbrel,23
Yellow-billed Cuckoo,23
Yellow-throated Vireo,23
Pileated Woodpecker,22
Red-breasted Nuthatch,22
Red-winged Blackbird,22
Savannah Sparrow,21
Ring-billed Gull,20
Black-throated Green Warbler,19
Eastern Phoebe,19
Swainson's Thrush,19
Blackburnian Warbler,18
Gray-cheeked Thrush,17
Least Flycatcher,17
Wild Turkey,17
Yellow-throated Warbler,17
Killdeer,16
Northern Bobwhite,16
Song Sparrow,16
Tennessee Warbler,16
Hairy Woodpecker,15
Rusty Blackbird,15
Caspian Tern,14
House Wren,14
Warbling Vireo,14
Blue Grosbeak,13
Pine Siskin,13
Swamp Sparrow,13
Brown Creeper,12
Dark-eyed Junco,12
Lapland Longspur,12
Black-bellied Plover,11
Snow Bunting,11
Veery,11
Yellow-bellied Flycatcher,11
Yellow-rumped Warbler,11
Alder Flycatcher,10
Nashville Warbler,10
Northern Rough-winged Swallow,10
Blue-winged Warbler,9
Henslow's Sparrow,9
Orchard Oriole,9
Ruddy Turnstone,9
Black-throated Blue Warbler,8
Blue-gray Gnatcatcher,8
Chestnut-sided Warbler,8
Common Goldeneye,8
Common Tern,8
Orange-crowned Warbler,8
Common Raven,7
Great Blue Heron,7
Green-winged Teal,7
Philadelphia Vireo,7
Prairie Warbler,7
Prothonotary Warbler,7
Tree Swallow,7
Blue-headed Vireo,6
Brown-headed Nuthatch,6
Eastern Meadowlark,6
Field Sparrow,6
Gadwall,6
Hermit Thrush,6
Long-tailed Duck,6
Ruby-crowned Kinglet,6
Black-billed Cuckoo,5
Eastern Whip-poor-will,5
Louisiana Waterthrush,5
Spotted Sandpiper,5
Swainson's Warbler,5
Winter Wren,5
Wood Duck,5
Boat-tailed Grackle,4
Cliff Swallow,4
Herring Gull,4
Horned Lark,4
Least Sandpiper,4
Marsh Wren,4
Sanderling,4
Yellow-bellied Sapsucker,4
Chuck-will's-widow,3
Dickcissel,3
Eastern Towhee,3
Great Black-backed Gull,3
Greater Yellowlegs,3
Green Heron,3
Least Bittern,3
Magnolia Warbler,3
Northern Waterthrush,3
Sandhill Crane,3
Semipalmated Plover,3
Short-billed Dowitcher,3
Snow Goose,3
Solitary Sandpiper,3
Tundra Swan,3
Virginia Rail,3
Acadian Flycatcher,2
American Kestrel,2
Barn Swallow,2
Black-necked Stilt,2
Canada Warbler,2
Carolina Chickadee,2
Hooded Warbler,2
Northern Harrier,2
Pine Warbler,2
Red-throated Loon,2
Short-eared Owl,2
Turkey Vulture,2
Willet,2
American Bittern,1
American Black Duck,1
American Oystercatcher,1
Black Scoter,1
Brant,1
Cerulean Warbler,1
Glossy Ibis,1
Hooded Merganser,1
Indigo Bunting,1
Lesser Yellowlegs,1
Merlin,1
Peregrine Falcon,1
Sandwich Tern,1
Sharp-shinned Hawk,1
White Ibis,1
