filt_h.1$common_name,n
Northern Cardinal,11474
Eastern Screech-Owl,8641
Carolina Wren,5497
Blue Jay,4249
American Robin,1950
Red-bellied Woodpecker,1884
Swainson's Warbler,1783
Great Horned Owl,1585
Barred Owl,1408
Tufted Titmouse,1317
Common Grackle,1019
Ruby-throated Hummingbird,953
Barn Owl,843
Eastern Wood-Pewee,841
Gray Catbird,838
Great Crested Flycatcher,836
Downy Woodpecker,690
Kentucky Warbler,625
American Crow,611
Red-shouldered Hawk,489
American Goldfinch,482
Mourning Dove,472
White-breasted Nuthatch,424
Fish Crow,422
Carolina Chickadee,383
White-throated Sparrow,368
Wood Thrush,363
Northern Waterthrush,359
Black Vulture,353
Red-eyed Vireo,350
White-crowned Sparrow,349
Prothonotary Warbler,302
Scarlet Tanager,284
Northern Flicker,279
Canada Goose,263
Osprey,262
Yellow-throated Warbler,223
Eastern Bluebird,216
Black-capped Chickadee,203
Red-tailed Hawk,202
Northern Mockingbird,178
Least Bittern,172
Great Blue Heron,159
Red-headed Woodpecker,156
Summer Tanager,151
Mallard,142
Yellow-throated Vireo,139
Cedar Waxwing,135
House Finch,134
Yellow-billed Cuckoo,131
Chimney Swift,128
Northern Bobwhite,122
Cooper's Hawk,110
Common Yellowthroat,107
Yellow-rumped Warbler,106
Pileated Woodpecker,105
American Pipit,98
Ovenbird,89
Swamp Sparrow,89
Golden-crowned Kinglet,86
Worm-eating Warbler,79
American Redstart,67
Louisiana Waterthrush,65
Hermit Thrush,61
Veery,56
Belted Kingfisher,51
House Sparrow,50
Palm Warbler,48
Philadelphia Vireo,47
Red-breasted Nuthatch,47
Eastern Whip-poor-will,46
Northern Rough-winged Swallow,46
Eastern Kingbird,38
Least Flycatcher,38
Eastern Towhee,36
Green Heron,36
Northern Parula,34
Acadian Flycatcher,31
White-eyed Vireo,31
Indigo Bunting,29
Rose-breasted Grosbeak,29
Dark-eyed Junco,28
Canada Warbler,27
Baltimore Oriole,26
Purple Finch,25
Alder Flycatcher,24
Black-throated Green Warbler,24
Hooded Warbler,24
Purple Martin,23
Wild Turkey,23
Wilson's Warbler,22
Fox Sparrow,21
Swainson's Thrush,19
Cape May Warbler,18
Common Loon,18
Yellow-bellied Sapsucker,18
Broad-winged Hawk,17
Chipping Sparrow,17
Gray-cheeked Thrush,17
Seaside Sparrow,17
Ruby-crowned Kinglet,16
American Coot,15
Common Raven,15
Killdeer,15
Warbling Vireo,15
Bald Eagle,14
Brown Creeper,14
Bay-breasted Warbler,13
Song Sparrow,13
Blue-gray Gnatcatcher,12
Blue-headed Vireo,12
Common Merganser,12
Eastern Phoebe,12
Magnolia Warbler,12
White Ibis,12
Chuck-will's-widow,11
Black-bellied Plover,10
Black-crowned Night-Heron,10
Blue-winged Warbler,10
Sandhill Crane,10
Wood Duck,10
American Woodcock,9
Blackpoll Warbler,9
Blue Grosbeak,9
Boat-tailed Grackle,9
Orange-crowned Warbler,9
Virginia Rail,9
Black-and-white Warbler,8
Brant,8
Rusty Blackbird,8
Clapper Rail,7
Common Gallinule,7
Greater Yellowlegs,7
Brown Thrasher,6
Green-winged Teal,6
Hairy Woodpecker,6
Lincoln's Sparrow,6
Peregrine Falcon,6
Pine Siskin,6
Red-winged Blackbird,6
Winter Wren,6
American Tree Sparrow,5
Blackburnian Warbler,5
Gadwall,5
Sora,5
Willow Flycatcher,5
Black-billed Cuckoo,4
Chestnut-sided Warbler,4
Common Nighthawk,4
Eurasian Collared-Dove,4
Field Sparrow,4
Nashville Warbler,4
Orchard Oriole,4
Prairie Warbler,4
Rock Pigeon,4
Whimbrel,4
Yellow-bellied Flycatcher,4
Barn Swallow,3
Brown-headed Cowbird,3
Brown-headed Nuthatch,3
Caspian Tern,3
European Starling,3
Grasshopper Sparrow,3
Pine Warbler,3
Vesper Sparrow,3
Yellow-breasted Chat,3
American Bittern,2
Cerulean Warbler,2
Dunlin,2
Eastern Meadowlark,2
Great Egret,2
House Wren,2
Laughing Gull,2
Merlin,2
Northern Shoveler,2
Solitary Sandpiper,2
American Kestrel,1
Black-throated Blue Warbler,1
Blue-winged Teal,1
Cliff Swallow,1
Common Tern,1
Glossy Ibis,1
Great Black-backed Gull,1
Great Cormorant,1
Herring Gull,1
Hooded Merganser,1
Horned Lark,1
Lesser Yellowlegs,1
Marsh Wren,1
Pectoral Sandpiper,1
Purple Sandpiper,1
Red-breasted Merganser,1
Red-throated Loon,1
Ring-billed Gull,1
Ring-necked Duck,1
Sanderling,1
Semipalmated Plover,1
Sharp-shinned Hawk,1
Short-eared Owl,1
Snow Bunting,1
Spotted Sandpiper,1
Tundra Swan,1
Yellow Warbler,1
