filt_h.1$common_name,n
American Robin,24993
House Sparrow,13908
Northern Cardinal,13561
Eastern Screech-Owl,9235
Carolina Wren,6697
Chimney Swift,6397
American Goldfinch,5330
Blue Jay,3973
House Finch,3662
Ruby-throated Hummingbird,3638
Common Grackle,3608
Black-capped Chickadee,2234
Summer Tanager,2171
Barn Owl,2092
Gray Catbird,1950
Cedar Waxwing,1489
Downy Woodpecker,1349
Great Horned Owl,1238
Song Sparrow,1177
Red-bellied Woodpecker,1056
Eastern Bluebird,1033
Mourning Dove,1011
Barred Owl,857
Osprey,666
Rose-breasted Grosbeak,515
Northern Flicker,505
American Crow,501
Red-shouldered Hawk,402
Purple Finch,393
Tufted Titmouse,392
Chipping Sparrow,376
Kentucky Warbler,363
Belted Kingfisher,361
Carolina Chickadee,357
Great Crested Flycatcher,357
Fish Crow,316
Prothonotary Warbler,308
White-throated Sparrow,294
Indigo Bunting,277
Red-tailed Hawk,274
Swainson's Warbler,270
Common Yellowthroat,265
Baltimore Oriole,261
Tree Swallow,256
White-crowned Sparrow,238
Purple Martin,235
Scarlet Tanager,235
Northern Bobwhite,228
Canada Goose,219
Golden-crowned Kinglet,209
Orchard Oriole,185
White-breasted Nuthatch,173
Blue Grosbeak,163
Yellow-throated Vireo,153
Eastern Kingbird,152
Warbling Vireo,152
Wood Thrush,152
Common Nighthawk,144
Dark-eyed Junco,130
Boat-tailed Grackle,116
Northern Rough-winged Swallow,115
Eastern Wood-Pewee,114
Ruby-crowned Kinglet,113
Northern Mockingbird,109
Blackpoll Warbler,97
Gray-cheeked Thrush,97
Alder Flycatcher,96
Pine Siskin,93
Yellow-rumped Warbler,93
Eastern Meadowlark,91
Red-eyed Vireo,88
European Starling,87
Worm-eating Warbler,87
Yellow-throated Warbler,87
Yellow-bellied Flycatcher,86
Red-breasted Nuthatch,84
American Pipit,82
Least Flycatcher,80
Red-headed Woodpecker,80
Brown-headed Cowbird,79
Eastern Phoebe,69
Pileated Woodpecker,69
Brown Thrasher,68
Brown-headed Nuthatch,66
Black-bellied Plover,63
Ruddy Turnstone,63
Field Sparrow,62
Broad-winged Hawk,61
Brown Creeper,58
Yellow-billed Cuckoo,58
Acadian Flycatcher,57
Palm Warbler,56
Swamp Sparrow,56
Killdeer,53
Lesser Yellowlegs,53
Prairie Warbler,52
Rusty Blackbird,51
Red-winged Blackbird,49
American Kestrel,48
Spotted Sandpiper,46
Black Vulture,45
Cooper's Hawk,45
Winter Wren,43
Barn Swallow,42
Black-throated Green Warbler,42
Solitary Sandpiper,41
Mallard,40
Green-winged Teal,39
White-eyed Vireo,39
American Tree Sparrow,38
Bald Eagle,38
Hairy Woodpecker,38
Cape May Warbler,37
Dunlin,37
Greater Yellowlegs,34
Eurasian Collared-Dove,32
Marsh Wren,32
Blue-winged Warbler,31
Blue-gray Gnatcatcher,30
Clapper Rail,30
Eastern Towhee,30
House Wren,30
Willow Flycatcher,29
Wilson's Warbler,29
Seaside Sparrow,28
Tennessee Warbler,26
Great Blue Heron,25
Yellow Warbler,25
American Woodcock,24
Hermit Thrush,24
Orange-crowned Warbler,23
American Redstart,21
Ovenbird,21
Vesper Sparrow,21
Virginia Rail,21
Lapland Longspur,20
Magnolia Warbler,19
Northern Parula,19
Yellow-bellied Sapsucker,19
Canada Warbler,18
Whimbrel,18
Louisiana Waterthrush,17
Savannah Sparrow,16
Veery,16
Snow Bunting,14
Swainson's Thrush,14
Pine Warbler,13
Black-billed Cuckoo,12
Common Loon,12
Eastern Whip-poor-will,12
Yellow-breasted Chat,12
Northern Waterthrush,11
Philadelphia Vireo,11
Blue-headed Vireo,10
Fox Sparrow,10
Hooded Warbler,10
Northern Harrier,10
Sandhill Crane,10
Short-billed Dowitcher,10
Wild Turkey,10
Caspian Tern,9
Least Bittern,9
Rock Pigeon,9
Wood Duck,9
Blackburnian Warbler,8
Blue-winged Teal,8
Bobolink,8
Sharp-shinned Hawk,8
Nashville Warbler,7
Sandwich Tern,7
Bay-breasted Warbler,6
Cliff Swallow,6
Common Raven,6
Peregrine Falcon,6
Ring-billed Gull,6
American Golden-Plover,5
Chestnut-sided Warbler,5
Chuck-will's-widow,5
Grasshopper Sparrow,5
Horned Lark,5
Sora,5
Tundra Swan,5
Anhinga,4
Black-and-white Warbler,4
Black-crowned Night-Heron,4
Herring Gull,4
Lincoln's Sparrow,4
Common Tern,3
Gadwall,3
Great Egret,3
Hooded Merganser,3
Laughing Gull,3
Red-throated Loon,3
Royal Tern,3
Semipalmated Sandpiper,3
Turkey Vulture,3
American Coot,2
American Oystercatcher,2
Cerulean Warbler,2
Common Gallinule,2
Common Goldeneye,2
Great Black-backed Gull,2
Great Cormorant,2
Green Heron,2
Least Sandpiper,2
Least Tern,2
Merlin,2
Sanderling,2
American Black Duck,1
American Wigeon,1
Bank Swallow,1
Black Scoter,1
Black-necked Stilt,1
Brown Pelican,1
Forster's Tern,1
Pied-billed Grebe,1
Piping Plover,1
Semipalmated Plover,1
Short-eared Owl,1
Snow Goose,1
White Ibis,1
Willet,1
