filt_h.1$common_name,n
Northern Cardinal,8256
American Robin,6647
Carolina Wren,3793
Blue Jay,1739
Common Grackle,1408
Scarlet Tanager,1369
Red-bellied Woodpecker,1194
White-throated Sparrow,1160
Great Crested Flycatcher,959
Gray Catbird,747
Fish Crow,658
Cedar Waxwing,576
Ruby-throated Hummingbird,551
House Sparrow,398
Black-capped Chickadee,397
Brown Thrasher,389
Tufted Titmouse,361
Osprey,345
Red-shouldered Hawk,345
Summer Tanager,340
Chimney Swift,318
American Goldfinch,301
American Crow,291
Eastern Bluebird,278
Red-eyed Vireo,264
Northern Flicker,255
Downy Woodpecker,236
Mourning Dove,223
Prothonotary Warbler,221
House Finch,184
Swainson's Warbler,179
Veery,174
Barn Owl,172
Golden-crowned Kinglet,169
Rose-breasted Grosbeak,157
Mallard,154
Red-tailed Hawk,145
Yellow-throated Vireo,142
Kentucky Warbler,136
Carolina Chickadee,134
Eastern Screech-Owl,128
Eastern Wood-Pewee,123
Yellow-rumped Warbler,117
Northern Waterthrush,91
White-breasted Nuthatch,75
Red-breasted Nuthatch,74
Brown Creeper,69
Cooper's Hawk,68
Great Horned Owl,67
Ruby-crowned Kinglet,67
Yellow-throated Warbler,67
Barred Owl,64
Canada Goose,62
White-crowned Sparrow,58
Wood Thrush,55
Swainson's Thrush,49
Eastern Towhee,46
Purple Martin,46
Cape May Warbler,39
Philadelphia Vireo,39
Ovenbird,36
Baltimore Oriole,33
Hermit Thrush,33
Palm Warbler,33
Purple Finch,31
Bald Eagle,29
American Redstart,28
Worm-eating Warbler,27
Indigo Bunting,26
Pileated Woodpecker,24
Acadian Flycatcher,21
Broad-winged Hawk,20
Common Loon,20
Common Yellowthroat,20
Dunlin,20
Northern Mockingbird,19
Chipping Sparrow,18
House Wren,18
Magnolia Warbler,18
Gray-cheeked Thrush,17
American Tree Sparrow,16
Great Blue Heron,16
Rusty Blackbird,16
Eastern Kingbird,15
European Starling,15
Field Sparrow,15
Song Sparrow,14
Yellow-billed Cuckoo,14
Black-bellied Plover,13
White-eyed Vireo,13
Common Raven,12
Belted Kingfisher,11
Common Nighthawk,11
Northern Parula,11
Red-headed Woodpecker,11
Savannah Sparrow,11
Warbling Vireo,11
Blue-headed Vireo,10
Green-winged Teal,10
Alder Flycatcher,9
Black-throated Green Warbler,9
Nashville Warbler,9
Northern Bobwhite,9
Orchard Oriole,9
Sora,9
Bay-breasted Warbler,8
Blue-winged Warbler,8
Eastern Phoebe,8
Louisiana Waterthrush,8
Pine Siskin,8
Wild Turkey,8
Black-crowned Night-Heron,7
Brown-headed Cowbird,7
Common Goldeneye,7
Dark-eyed Junco,7
Hairy Woodpecker,7
Least Flycatcher,7
Northern Rough-winged Swallow,7
Swamp Sparrow,7
Blackpoll Warbler,6
Hooded Warbler,6
Killdeer,6
Tennessee Warbler,6
Yellow-bellied Flycatcher,6
American Woodcock,5
Black-and-white Warbler,5
Black-throated Blue Warbler,5
Boat-tailed Grackle,5
Caspian Tern,5
Fox Sparrow,5
Ring-billed Gull,5
Seaside Sparrow,5
Whimbrel,5
Yellow-bellied Sapsucker,5
Blue Grosbeak,4
Blue-gray Gnatcatcher,4
Brown-headed Nuthatch,4
Chestnut-sided Warbler,4
Wood Duck,4
Yellow-breasted Chat,4
American Pipit,3
Clapper Rail,3
Common Gallinule,3
Gadwall,3
Orange-crowned Warbler,3
Pine Warbler,3
Prairie Warbler,3
Sandhill Crane,3
Spotted Sandpiper,3
Virginia Rail,3
Yellow Warbler,3
American Bittern,2
Blue-winged Teal,2
Canada Warbler,2
Cerulean Warbler,2
Eastern Meadowlark,2
Green Heron,2
Horned Lark,2
Lesser Yellowlegs,2
Red-winged Blackbird,2
Sanderling,2
Tree Swallow,2
Willet,2
Wilson's Warbler,2
American Black Duck,1
American Golden-Plover,1
Bank Swallow,1
Barn Swallow,1
Black-billed Cuckoo,1
Blackburnian Warbler,1
Brant,1
Chuck-will's-widow,1
Common Tern,1
Eastern Whip-poor-will,1
Eurasian Collared-Dove,1
Grasshopper Sparrow,1
Great Egret,1
Lapland Longspur,1
Least Sandpiper,1
Lincoln's Sparrow,1
Marsh Wren,1
Northern Harrier,1
Rock Pigeon,1
Ruddy Turnstone,1
Snow Bunting,1
Solitary Sandpiper,1
Tundra Swan,1
Willow Flycatcher,1
