filt_h.1$common_name,n
Eastern Screech-Owl,23032
Northern Cardinal,21746
Carolina Wren,8438
American Robin,7016
Black-capped Chickadee,5390
Blue Jay,3223
American Crow,2930
Tufted Titmouse,2336
Gray Catbird,2313
Ovenbird,1954
Barred Owl,1770
Ruby-throated Hummingbird,1703
Red-bellied Woodpecker,1691
White-throated Sparrow,1363
Mourning Dove,1223
House Sparrow,1190
Common Yellowthroat,1087
Canada Goose,1051
Common Grackle,829
Purple Finch,829
Baltimore Oriole,814
House Wren,653
Northern Flicker,630
Downy Woodpecker,619
Red-shouldered Hawk,599
Fish Crow,598
Eastern Wood-Pewee,571
Scarlet Tanager,503
Red-eyed Vireo,488
Kentucky Warbler,477
Swainson's Warbler,476
Cedar Waxwing,463
European Starling,461
Great Horned Owl,447
Wood Thrush,409
American Goldfinch,385
Common Nighthawk,375
Carolina Chickadee,366
Rose-breasted Grosbeak,347
Great Crested Flycatcher,335
House Finch,329
Summer Tanager,300
Blackpoll Warbler,290
Worm-eating Warbler,267
Osprey,229
Golden-crowned Kinglet,199
White-breasted Nuthatch,191
Pine Warbler,185
Yellow-throated Vireo,183
Prothonotary Warbler,178
Pileated Woodpecker,159
Chimney Swift,152
Eastern Towhee,152
Belted Kingfisher,151
Eastern Bluebird,137
Ruby-crowned Kinglet,137
Indigo Bunting,136
Gray-cheeked Thrush,125
Red-headed Woodpecker,123
Red-breasted Nuthatch,106
Barn Owl,97
Cooper's Hawk,97
Red-tailed Hawk,97
Red-winged Blackbird,94
Northern Mockingbird,93
Great Blue Heron,88
Least Flycatcher,76
Brown Creeper,73
Northern Waterthrush,70
Hairy Woodpecker,69
Acadian Flycatcher,63
Blue-gray Gnatcatcher,62
Chipping Sparrow,60
Brown Thrasher,59
Eastern Kingbird,57
Mourning Warbler,57
Yellow-billed Cuckoo,57
Broad-winged Hawk,55
Cape May Warbler,53
White-crowned Sparrow,50
Chestnut-sided Warbler,47
Swamp Sparrow,46
Veery,45
Purple Martin,42
Yellow-throated Warbler,39
Black-throated Green Warbler,37
Orchard Oriole,37
Warbling Vireo,37
Cerulean Warbler,36
Hermit Thrush,33
Hooded Warbler,31
Northern Rough-winged Swallow,31
Song Sparrow,31
Brown-headed Cowbird,30
Mallard,30
Blue-headed Vireo,29
Yellow-bellied Flycatcher,29
American Woodcock,28
Northern Parula,28
American Redstart,26
Tree Swallow,25
Canada Warbler,24
Eurasian Collared-Dove,23
White-eyed Vireo,23
Bald Eagle,21
Black-crowned Night-Heron,21
Green-winged Teal,21
Common Loon,19
Louisiana Waterthrush,19
American Bittern,18
American Tree Sparrow,18
Common Raven,18
Swainson's Thrush,18
Alder Flycatcher,16
Blue-winged Warbler,16
Sandhill Crane,16
Yellow-rumped Warbler,16
Fox Sparrow,15
Greater Yellowlegs,15
Northern Bobwhite,15
Wild Turkey,15
Pine Siskin,14
Rusty Blackbird,14
Dark-eyed Junco,13
Magnolia Warbler,13
Sharp-shinned Hawk,13
Barn Swallow,12
Black-and-white Warbler,12
Blue Grosbeak,11
Boat-tailed Grackle,11
Merlin,11
Bay-breasted Warbler,10
Blackburnian Warbler,10
Turkey Vulture,10
Yellow-bellied Sapsucker,10
Black-billed Cuckoo,9
Henslow's Sparrow,9
Killdeer,9
Nashville Warbler,9
Winter Wren,9
Wood Duck,9
Field Sparrow,8
Orange-crowned Warbler,8
Palm Warbler,7
Yellow-breasted Chat,7
American Kestrel,6
Brown-headed Nuthatch,6
Eastern Phoebe,6
Lincoln's Sparrow,6
Marsh Wren,6
Philadelphia Vireo,6
Prairie Warbler,6
Snow Goose,6
Yellow Warbler,6
Black-throated Blue Warbler,5
Virginia Rail,5
Great Egret,4
Least Bittern,4
Seaside Sparrow,4
Spotted Sandpiper,4
Wilson's Warbler,4
Black Vulture,3
Black-bellied Plover,3
Chuck-will's-widow,3
Eastern Meadowlark,3
Grasshopper Sparrow,3
Northern Harrier,3
Peregrine Falcon,3
Royal Tern,3
Ruddy Turnstone,3
Solitary Sandpiper,3
Sora,3
Tennessee Warbler,3
Whimbrel,3
Willow Flycatcher,3
American Pipit,2
Dunlin,2
Green Heron,2
Rock Pigeon,2
Savannah Sparrow,2
American Wigeon,1
Black Scoter,1
Black-necked Stilt,1
Brown Pelican,1
Clapper Rail,1
Cliff Swallow,1
Common Gallinule,1
Eastern Whip-poor-will,1
Forster's Tern,1
Gadwall,1
Lesser Yellowlegs,1
Pied-billed Grebe,1
Ring-billed Gull,1
Short-billed Dowitcher,1
Snow Bunting,1
Tundra Swan,1
White Ibis,1
Willet,1
