filt_h.1$common_name,n
Northern Cardinal,22255
House Sparrow,21903
Carolina Wren,7965
Eastern Screech-Owl,7848
American Robin,5319
Black-capped Chickadee,4473
Blue Jay,3136
American Crow,2997
Common Grackle,2511
Purple Finch,2263
American Goldfinch,1954
House Finch,1895
Tufted Titmouse,1235
Northern Flicker,950
Red-bellied Woodpecker,839
Cedar Waxwing,812
Great Horned Owl,763
Canada Goose,719
Tree Swallow,719
Ovenbird,628
Common Nighthawk,623
Osprey,582
Fish Crow,577
Common Yellowthroat,462
Ruby-throated Hummingbird,447
European Starling,444
Downy Woodpecker,432
Mourning Dove,386
Gray Catbird,361
Barn Owl,358
Indigo Bunting,337
Chimney Swift,330
Northern Mockingbird,296
White-breasted Nuthatch,290
Red-shouldered Hawk,287
White-throated Sparrow,283
Belted Kingfisher,279
Rose-breasted Grosbeak,277
Red-headed Woodpecker,269
Baltimore Oriole,254
Killdeer,252
Summer Tanager,211
Carolina Chickadee,203
Barred Owl,186
Purple Martin,173
Song Sparrow,170
Eastern Bluebird,150
Chipping Sparrow,144
Great Crested Flycatcher,137
Lapland Longspur,131
Eastern Kingbird,125
Pileated Woodpecker,112
Eastern Phoebe,110
Worm-eating Warbler,109
Northern Bobwhite,107
Red-tailed Hawk,100
Wood Thrush,100
Golden-crowned Kinglet,99
Brown-headed Cowbird,95
Red-eyed Vireo,87
Dunlin,85
White-crowned Sparrow,84
Veery,80
Spotted Sandpiper,78
Pine Siskin,73
American Pipit,69
Swainson's Warbler,69
Forster's Tern,68
Ruby-crowned Kinglet,66
Blue Grosbeak,62
Hairy Woodpecker,60
Ruddy Turnstone,60
Boat-tailed Grackle,59
Scarlet Tanager,55
American Kestrel,53
Least Sandpiper,50
Red-breasted Nuthatch,50
Blackpoll Warbler,49
Northern Parula,49
Northern Rough-winged Swallow,49
Yellow-throated Vireo,47
Dark-eyed Junco,46
American Woodcock,44
Common Loon,44
Snow Bunting,44
Bald Eagle,42
Brown Thrasher,42
Red-winged Blackbird,42
Henslow's Sparrow,41
Least Flycatcher,41
Mallard,41
Yellow-throated Warbler,41
Orchard Oriole,39
Eurasian Collared-Dove,38
Royal Tern,38
Cape May Warbler,37
Least Tern,37
Gray-cheeked Thrush,35
Whimbrel,35
Cooper's Hawk,34
House Wren,34
Snow Goose,33
Field Sparrow,32
Swamp Sparrow,32
Tennessee Warbler,31
American Tree Sparrow,30
Broad-winged Hawk,30
Green-winged Teal,29
Black-crowned Night-Heron,26
Common Raven,26
Yellow-billed Cuckoo,25
Lesser Yellowlegs,24
Marsh Wren,24
Great Blue Heron,23
Savannah Sparrow,23
Rusty Blackbird,22
Blue-gray Gnatcatcher,21
Brown-headed Nuthatch,21
Kentucky Warbler,21
Prairie Warbler,20
Blue-winged Warbler,19
Alder Flycatcher,18
Eastern Towhee,18
Eastern Wood-Pewee,18
Greater Yellowlegs,18
Nashville Warbler,18
Palm Warbler,18
Winter Wren,18
Wood Stork,18
Grasshopper Sparrow,17
Brown Creeper,16
Virginia Rail,16
Black-bellied Plover,15
Wild Turkey,15
Yellow-bellied Flycatcher,15
Orange-crowned Warbler,14
Common Goldeneye,13
Eastern Meadowlark,13
Bank Swallow,12
Chuck-will's-widow,12
Ring-billed Gull,12
Eastern Whip-poor-will,11
Black-billed Cuckoo,10
Common Tern,10
Horned Lark,10
Merlin,10
Wood Duck,10
Black-throated Green Warbler,9
Seaside Sparrow,9
Black-and-white Warbler,8
Swainson's Thrush,8
Willet,8
American Redstart,7
Barn Swallow,7
Prothonotary Warbler,7
Sandwich Tern,7
Semipalmated Plover,7
Solitary Sandpiper,7
Tundra Swan,7
Warbling Vireo,7
Yellow-bellied Sapsucker,7
Clapper Rail,6
Cliff Swallow,6
Hermit Thrush,6
Northern Waterthrush,6
Philadelphia Vireo,6
Blue-headed Vireo,5
Great Egret,5
Least Bittern,5
Pine Warbler,5
Vesper Sparrow,5
White-eyed Vireo,5
Acadian Flycatcher,4
Fox Sparrow,4
Hooded Merganser,4
Peregrine Falcon,4
Sandhill Crane,4
Short-billed Dowitcher,4
Yellow-rumped Warbler,4
American Bittern,3
Gadwall,3
Herring Gull,3
Hooded Warbler,3
Northern Harrier,3
Rock Pigeon,3
Turkey Vulture,3
Willow Flycatcher,3
Yellow-breasted Chat,3
Black Scoter,2
Black Vulture,2
Bobolink,2
Lincoln's Sparrow,2
Magnolia Warbler,2
Pied-billed Grebe,2
Semipalmated Sandpiper,2
Wilson's Snipe,2
Wilson's Warbler,2
Yellow Warbler,2
Bay-breasted Warbler,1
Black-necked Stilt,1
Black-throated Blue Warbler,1
Blackburnian Warbler,1
Blue-winged Teal,1
Bufflehead,1
Caspian Tern,1
Cattle Egret,1
Common Eider,1
Dickcissel,1
Great Black-backed Gull,1
Great Cormorant,1
Green Heron,1
Laughing Gull,1
Long-tailed Duck,1
Louisiana Waterthrush,1
Mourning Warbler,1
Redhead,1
Roseate Tern,1
Sanderling,1
Sora,1
Western Sandpiper,1
White Ibis,1
