mean,LCI,UCI,contrasts,sig,outcome,species,habitat,est
-0.10870664443614034,-0.43036349098771554,0.20961012743012808,urbanopen_cntrst,No, - ,American Goldfinch,Urban open,-0.10870664443614034
-0.11466903429211632,-0.6607765194466216,0.35651924915776734,urbanforest_cntrst,No, - ,American Goldfinch,Urban forest,-0.11466903429211632
-0.08372275168377627,-0.4591357535561895,0.3049540670945452,exurbanopen_cntrst,No, - ,American Goldfinch,Exurban open,-0.08372275168377627
-0.4741481733395735,-0.8269310181665593,-0.11120092553381114,exurbanforest_cntrst,Yes,more vocalization during extremes,American Goldfinch,Exurban forest,-0.4741481733395735
-0.13808100306063004,-0.5418152748049746,0.2747884918433326,urbanopen_cntrst,No, - ,American Robin,Urban open,-0.13808100306063004
0.16494337082763105,-0.326405562773726,0.6489450759506826,urbanforest_cntrst,No, - ,American Robin,Urban forest,0.16494337082763105
-1.1359155690590217,-1.822646616032565,-0.2742489819376322,exurbanopen_cntrst,Yes,more vocalization during extremes,American Robin,Exurban open,-1.1359155690590217
-0.19936080855843516,-0.7455047962370447,0.34466149697115,exurbanforest_cntrst,No, - ,American Robin,Exurban forest,-0.19936080855843516
-0.31082147067564775,-0.7246624269878786,0.06848911873350497,urbanopen_cntrst,No, - ,Blue Jay,Urban open,-0.31082147067564775
0.4432138881003381,-0.10523503220095347,0.9496224618654956,urbanforest_cntrst,No, - ,Blue Jay,Urban forest,0.4432138881003381
1.099916259062527,0.5203781575831962,1.7043021155798703,exurbanopen_cntrst,Yes,less vocalization during extremes,Blue Jay,Exurban open,1.099916259062527
0.6394806118402172,0.16196063415279258,1.085893190665395,exurbanforest_cntrst,Yes,less vocalization during extremes,Blue Jay,Exurban forest,0.6394806118402172
-0.31059267330471113,-0.8325289254356047,0.23576527298013386,urbanopen_cntrst,No, - ,Carolina Chickadee,Urban open,-0.31059267330471113
-0.7669544206911569,-1.274332899129591,-0.3046607491262213,urbanforest_cntrst,Yes,more vocalization during extremes,Carolina Chickadee,Urban forest,-0.7669544206911569
-0.12382066587616297,-0.7959817486489029,0.5129711313440976,exurbanopen_cntrst,No, - ,Carolina Chickadee,Exurban open,-0.12382066587616297
-0.6634318107971,-1.1079572565430749,-0.2601845090490257,exurbanforest_cntrst,Yes,more vocalization during extremes,Carolina Chickadee,Exurban forest,-0.6634318107971
-0.147730077400488,-0.4352753059411987,0.136547133039498,urbanopen_cntrst,No, - ,Carolina Wren,Urban open,-0.147730077400488
0.09849751319195812,-0.22622155104138492,0.44527878114468633,urbanforest_cntrst,No, - ,Carolina Wren,Urban forest,0.09849751319195812
0.1277926234983214,-0.2482324471701552,0.4730145275755807,exurbanopen_cntrst,No, - ,Carolina Wren,Exurban open,0.1277926234983214
-0.2722413423297218,-0.5512199060036033,0.009153482261753396,exurbanforest_cntrst,No, - ,Carolina Wren,Exurban forest,-0.2722413423297218
-0.7341860134657211,-1.7284185169494874,0.2788278658357366,urbanopen_cntrst,No, - ,Hairy Woodpecker,Urban open,-0.7341860134657211
0.2887091677769702,-1.0730871894197038,1.7388820208340627,urbanforest_cntrst,No, - ,Hairy Woodpecker,Urban forest,0.2887091677769702
-0.9295509092759938,-2.3588402678358156,0.3818292813722802,exurbanopen_cntrst,No, - ,Hairy Woodpecker,Exurban open,-0.9295509092759938
-0.09733400541991415,-0.9875882773404435,0.6467585174147937,exurbanforest_cntrst,No, - ,Hairy Woodpecker,Exurban forest,-0.09733400541991415
0.0013266282601932244,-0.21462205576325322,0.20595769533819544,urbanopen_cntrst,No, - ,Northern Cardinal,Urban open,0.0013266282601932244
-0.048256931751080166,-0.3189068811947841,0.23102310571959114,urbanforest_cntrst,No, - ,Northern Cardinal,Urban forest,-0.048256931751080166
-0.09094129627852048,-0.4001595748316258,0.20300559346068586,exurbanopen_cntrst,No, - ,Northern Cardinal,Exurban open,-0.09094129627852048
-0.11737345313897456,-0.35024132358759685,0.09255441515833338,exurbanforest_cntrst,No, - ,Northern Cardinal,Exurban forest,-0.11737345313897456
-0.46023854330721076,-0.8591552531079045,-0.04266428061687374,urbanopen_cntrst,Yes,more vocalization during extremes,Red-bellied Woodpecker,Urban open,-0.46023854330721076
1.0493559775688819,0.4551051104651258,1.661055635151226,urbanforest_cntrst,Yes,less vocalization during extremes,Red-bellied Woodpecker,Urban forest,1.0493559775688819
-0.05015070987329042,-0.650758095129177,0.5827139861173263,exurbanopen_cntrst,No, - ,Red-bellied Woodpecker,Exurban open,-0.05015070987329042
0.4547875349499671,0.04508332493069118,0.8796481398094098,exurbanforest_cntrst,Yes,less vocalization during extremes,Red-bellied Woodpecker,Exurban forest,0.4547875349499671
-0.47861571594635655,-0.8782076292511735,-0.04546726058070738,urbanopen_cntrst,Yes,more vocalization during extremes,Tufted Titmouse,Urban open,-0.47861571594635655
-0.6321100864101494,-1.0380188468655596,-0.22888380694087593,urbanforest_cntrst,Yes,more vocalization during extremes,Tufted Titmouse,Urban forest,-0.6321100864101494
-0.33769897594714254,-0.8303569413645384,0.08548398024718115,exurbanopen_cntrst,No, - ,Tufted Titmouse,Exurban open,-0.33769897594714254
-0.29857999564596094,-0.6884501081457491,0.03807706916787016,exurbanforest_cntrst,No, - ,Tufted Titmouse,Exurban forest,-0.29857999564596094
1.4548311358427486,-0.7725814199383241,4.381594112490507,urbanopen_cntrst,No, - ,Wood Thrush,Urban open,1.4548311358427486
1.2314112120510055,-0.16205994129795323,2.901118987735132,urbanforest_cntrst,No, - ,Wood Thrush,Urban forest,1.2314112120510055
0.27913219219752694,-0.3805873402699836,0.8974595025414065,exurbanopen_cntrst,No, - ,Wood Thrush,Exurban open,0.27913219219752694
-0.27495634614186454,-0.6894480553813392,0.09944114813598509,exurbanforest_cntrst,No, - ,Wood Thrush,Exurban forest,-0.27495634614186454
