"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","FMTM","FMTM_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","TSUN","TSUN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT06","WT06_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-11",,,,,,,,,"23.9",",,Z","15.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-12",,,,,,,,,"22.2",",,Z","12.8",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-13",,,,,,,,,"23.3",",,Z","15.6",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-14",,,,,,,,,"23.3",",,Z","16.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-15",,,,,,,,,"20.0",",,Z","11.7",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-16",,,,,,,,,"20.6",",,Z","10.0",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-17",,,,,,,,,"15.0",",,Z","7.2",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-18",,,,,,,,,"15.0",",,Z","4.4",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-19",,,,,,,,,"16.1",",,Z","6.1",",,Z",,,,,,,,,,,,,,,,,,,,
"USW00013752","ANNAPOLIS UNITED STATES NAVAL ACADEMY ASOS, MD US","38.9913","-76.4891","1.8","2001-10-20",,,,,,,,,"16.1",",,Z","8.9",",,Z",,,,,,,,,,,,,,,,,,,,
