"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","FMTM","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WDF2","WDF5","WSF2","WSF5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-01","0.5"," 1614"," 1629","0.0","0.0","0.0","1.7","7.8","-4.4",,"  100","  360","4.0","4.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-02","3.1"," 2240"," 2216","0.0","0.0","0.0","11.1","20.0","1.7",,"  220","  220","7.6","11.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-03","3.4"," 2324"," 2334","0.0","0.0","0.0","16.7","20.0","13.3",,"  200","  210","6.3","8.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-04","5.9"," 1305"," 1305","31.0","0.0","0.0","14.4","21.1","7.8",,"  210","  200","13.0","17.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-05","5.1"," 0225"," 0222","0.0","0.0","0.0","2.8","7.8","-2.8",,"  290","  300","11.6","14.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-06","1.4"," 1325"," 1448","0.0","0.0","0.0","1.7","8.3","-5.6",,"  210","  160","5.8","7.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-07","3.0"," 1301"," 1322","0.0","0.0","0.0","3.9","11.7","-4.4",,"  270","  310","13.0","15.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-08","1.6"," 0947"," 0946","0.0","0.0","0.0","0.6","6.7","-5.6",,"  320","  320","4.9","6.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-09","1.1"," 1559"," 1558","0.0","0.0","0.0","5.6","8.3","2.2",,"  190","  160","4.9","6.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-10","3.9"," 2058"," 1404","11.2","0.0","0.0","8.3","11.1","5.6",,"  270","  260","8.9","10.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-11","6.6"," 1641"," 1048","0.0","0.0","0.0","7.8","12.2","3.3",,"  270","  290","14.8","20.1"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-12","3.6"," 0319"," 0041","0.0","0.0","0.0","5.0","10.0","-0.6",,"  280","  310","9.4","13.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-13","4.7"," 1404"," 1409","0.0","0.0","0.0","6.7","15.0","-2.2",,"  300","  280","17.9","21.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-14","6.5"," 1341"," 1323","0.0","0.0","0.0","-3.3","-0.6","-6.7",,"  300","  310","11.2","14.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-15","2.5"," 1611"," 1639","0.0","0.0","0.0","-3.3","1.1","-8.3",,"  140","  160","5.8","6.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-16","5.0"," 1556"," 1717","0.0","0.0","0.0","6.7","15.0","-1.7",,"  300","  300","13.0","17.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-17","5.6"," 1500"," 0914","0.0","0.0","0.0","-5.0","-1.7","-8.9",,"  310","  350","9.8","13.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-18","2.4"," 0221"," 0634","0.0","0.0","0.0","-8.3","-5.6","-11.7",,"  350","   10","5.8","6.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-19","1.9"," 1115"," 1503","0.0","0.0","0.0","-3.3","3.3","-10.0",,"  300","  320","8.9","10.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-20","4.7"," 2313"," 2248","6.6","145.0","51.0","-2.2","0.0","-5.0",,"  300","  280","10.7","16.5"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-21","7.2"," 1235"," 1559","0.0","0.0","102.0","-8.3","-5.0","-11.7",,"  290","  280","13.4","17.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-22","3.3"," 1048"," 1313","0.0","0.0","102.0","-8.9","-5.6","-12.8",,"  260","  280","7.6","9.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-23","2.6"," 1335"," 1336","0.0","0.0","76.0","-3.9","-2.2","-6.1",,"   80","   80","4.9","5.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-24","2.8"," 2241"," 2323","0.0","0.0","76.0","0.6","3.9","-2.8",,"   20","  360","6.3","8.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-25","7.2"," 2305"," 2247","26.4","378.0","102.0","-2.2","0.0","-4.4",,"  290","  280","10.7","14.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-26","5.8"," 1333"," 0029","0.0","0.0","381.0","-3.3","0.0","-7.2",,"  300","  270","9.4","13.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-27","6.4"," 1519"," 1519","0.0","0.0","305.0","-7.8","-4.4","-11.7",,"  300","  320","12.5","17.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-28","5.1"," 1443"," 1220","0.0","0.0","279.0","-6.7","-1.1","-12.8",,"  300","  300","9.8","13.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-29","1.6"," 0025"," 1041","0.0","0.0","152.0","-5.0","2.8","-13.3",,"  280","  350","4.5","6.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-30","2.3"," 2323"," 1620","17.3","64.0","51.0","-7.2","-1.1","-13.9",,"  280","   30","5.8","7.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-01-31","4.9"," 1346"," 1139","0.0","0.0","127.0","-1.1","2.8","-5.0",,"  270","  270","11.6","14.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-01","4.8"," 1138"," 1603","0.0","0.0","76.0","-2.8","2.2","-8.3",,"  260","  260","9.8","11.6"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-02","5.3"," 1135"," 1139","0.0","0.0","76.0","-4.4","0.0","-8.9",,"  280","  290","12.5","14.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-03","1.0"," 1709"," 1706","0.0","0.0","51.0","-4.4","2.8","-11.7",,"   70","   40","4.5","6.7"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-04","1.0"," 2020"," 2019","0.5","10.0","51.0","-0.6","2.2","-3.9",,"  270","  260","4.5","6.3"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-05","5.2"," 1330"," 1240","0.0","0.0","51.0","0.6","3.3","-2.8",,"  260","  270","10.3","13.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-06","3.3"," 0955"," 1207","0.0","0.0","51.0","-0.6","2.8","-3.9",,"  280","  270","7.6","9.4"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-07","3.7"," 1232"," 1258","0.0","0.0","51.0","1.7","8.3","-5.6",,"  260","  280","10.7","13.0"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-08","2.5"," 0903"," 0843","0.0","0.0","25.0","-2.2","2.8","-7.8",,"   60","   30","6.7","8.9"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-09","1.6"," 1117"," 1117","0.0","0.0","25.0","0.0","9.4","-10.0",,"  230","  240","7.2","9.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-10","1.6"," 2347"," 1346","0.0","0.0","25.0","3.9","11.1","-3.3",,"  100","  130","4.9","5.8"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-11","3.7"," 1939"," 1556","0.0","0.0","0.0","8.3","13.9","2.2",,"  310","  280","11.2","15.2"
"USW00093721","BALTIMORE WASHINGTON INTERNATIONAL AIRPORT, MD US","39.17329","-76.68408","42.0","2000-02-12","3.2"," 0731"," 0724","0.0","0.0","0.0","-1.7","2.8","-6.1",,"   40","   30","7.2","9.4"
